Batch 0 - Dataset Indices: [2, 2], Sample Indices: [2173, 730]
Batch 1 - Dataset Indices: [0, 0], Sample Indices: [9588, 30015]
Batch 2 - Dataset Indices: [0, 0], Sample Indices: [50972, 70736]
Batch 3 - Dataset Indices: [0, 0], Sample Indices: [18883, 38250]
Batch 4 - Dataset Indices: [0, 0], Sample Indices: [32316, 22060]
Batch 5 - Dataset Indices: [0, 0], Sample Indices: [53254, 30164]
Batch 6 - Dataset Indices: [2, 2], Sample Indices: [7015, 4954]
Batch 7 - Dataset Indices: [0, 0], Sample Indices: [6893, 70358]
Batch 8 - Dataset Indices: [2, 2], Sample Indices: [3764, 1948]
Batch 9 - Dataset Indices: [2, 2], Sample Indices: [4550, 21]
Batch 10 - Dataset Indices: [2, 2], Sample Indices: [4936, 2160]
Batch 11 - Dataset Indices: [2, 2], Sample Indices: [2019, 7059]
Batch 12 - Dataset Indices: [0, 0], Sample Indices: [57119, 40257]
Batch 13 - Dataset Indices: [0, 0], Sample Indices: [26065, 27745]
Batch 14 - Dataset Indices: [1, 1], Sample Indices: [9671, 9999]
Batch 15 - Dataset Indices: [1, 1], Sample Indices: [15271, 11256]
Batch 16 - Dataset Indices: [0, 0], Sample Indices: [41566, 38046]
Batch 17 - Dataset Indices: [0, 0], Sample Indices: [51641, 51905]
Batch 18 - Dataset Indices: [0, 0], Sample Indices: [27787, 29005]
Batch 19 - Dataset Indices: [1, 1], Sample Indices: [17966, 2606]
Batch 20 - Dataset Indices: [2, 2], Sample Indices: [5827, 5030]
Batch 21 - Dataset Indices: [0, 0], Sample Indices: [39494, 9246]
Batch 22 - Dataset Indices: [2, 2], Sample Indices: [5073, 7778]
Batch 23 - Dataset Indices: [1, 1], Sample Indices: [13598, 5601]
Batch 24 - Dataset Indices: [0, 0], Sample Indices: [59982, 35380]
Batch 25 - Dataset Indices: [2, 2], Sample Indices: [7201, 4687]
Batch 26 - Dataset Indices: [0, 0], Sample Indices: [67696, 54680]
Batch 27 - Dataset Indices: [0, 0], Sample Indices: [52008, 42376]
Batch 28 - Dataset Indices: [1, 1], Sample Indices: [4842, 14958]
Batch 29 - Dataset Indices: [0, 0], Sample Indices: [6827, 7959]
Batch 30 - Dataset Indices: [1, 1], Sample Indices: [11718, 15659]
Batch 31 - Dataset Indices: [2, 2], Sample Indices: [266, 924]
Batch 32 - Dataset Indices: [2, 2], Sample Indices: [4437, 2573]
Batch 33 - Dataset Indices: [2, 2], Sample Indices: [584, 540]
Batch 34 - Dataset Indices: [0, 0], Sample Indices: [66196, 30477]
Batch 35 - Dataset Indices: [1, 1], Sample Indices: [7692, 11078]
Batch 36 - Dataset Indices: [2, 2], Sample Indices: [4304, 3525]
